target_id	length	eff_length	est_counts	tpm
NM_001010975.1	1251	999.833	60824	1993.05
NM_001011562.1	863	611.875	331.262	17.737
NM_001011563.1	2084	1832.83	1283	22.9337
NM_001011564.2	1326	1074.83	1094	33.3463
NM_001011565.1	3023	2771.83	302.274	3.57277
NM_001011566.1	1503	1251.83	0	0
NM_001011567.1	4030	3778.83	13.8836	0.120369
NM_001011568.1	2077	1825.83	16.9394	0.303954
NM_001011570.1	582	331.174	9319	921.901
NM_001011571.1	2093	1841.83	31.7887	0.565448
NM_001011572.1	2346	2094.83	153632	2402.72
NM_001011573.1	3160	2908.83	2.2193e-07	2.49959e-09
NM_001011574.1	1940	1688.83	86	1.66833
NM_001011575.1	2163	1911.83	147.974	2.53575
NM_001011576.1	1195	943.833	289	10.0317
NM_001011577.1	2389	2137.83	2089.4	32.0198
NM_001011578.1	5441	5189.83	4279	27.0122
NM_001011579.1	1430	1178.83	261	7.25369
NM_001011580.1	1544	1292.83	10.1676	0.25766
NM_001011581.1	2439	2187.83	3.45146	0.0516844
NM_001011583.2	635	384.078	362870	30953
NM_001011584.1	1606	1354.83	1248.99	30.2026
NM_001011585.1	1638	1386.83	156.432	3.69548
NM_001011586.1	2205	1953.83	15.0597	0.252522
NM_001011587.1	496	245.31	0	0
NM_001011588.1	724	472.997	29	2.00868
NM_001011589.1	624	373.116	871	76.4796
NM_001011590.1	574	323.184	11	1.1151
NM_001011591.1	584	333.174	2	0.196666
NM_001011592.1	1590	1338.83	6376.02	156.025
NM_001011593.1	548	297.246	1	0.110219
NM_001011594.1	4195	3943.83	18.2576	0.151669
NM_001011595.1	2818	2566.83	149.902	1.91329
NM_001011596.1	4100	3848.83	587.256	4.99884
NM_001011597.1	2673	2421.83	127.302	1.72211
NM_001011598.1	1624	1372.83	11592	276.638
NM_001011599.1	1942	1690.83	28.6742	0.555599
NM_001011600.1	2052	1800.83	855	15.5548
NM_001011601.1	1830	1578.83	59	1.2243
NM_001011602.1	2795	2543.83	882	11.3593
NM_001011603.1	1683	1431.83	2959.89	67.7258
NM_001011604.3	685	434.012	17264.1	1303.2
NM_001011605.1	1448	1196.83	783	21.4338
NM_001011606.1	1757	1505.83	7	0.152297
NM_001011608.1	1873	1621.83	854	17.2513
NM_001011610.1	1612	1360.83	79.6696	1.91804
NM_001011614.1	688	437.012	29648	2222.66
NM_001011615.1	664	413.012	234645	18613.1
NM_001011616.2	680	429.012	74995	5727.08
NM_001011617.1	374	126.2	99921	25939.9
NM_001011619.1	1559	1307.83	1006.29	25.2082
NM_001011620.1	957	705.833	4.07769	0.189271
NM_001011621.1	3254	3002.83	14.1902	0.15482
NM_001011622.1	1529	1277.83	76	1.94854
NM_001011623.1	3376	3124.83	0.365871	0.00383594
NM_001011624.1	4969	4717.83	149.374	1.03729
NM_001011625.2	1940	1688.83	0	0
NM_001011626.2	755	503.932	4116.72	267.64
NM_001011627.1	2520	2268.83	1228	17.7324
NM_001011628.2	1386	1134.83	2150.07	62.0714
NM_001011629.1	14440	14188.8	1575.65	3.63817
NM_001011630.1	630	379.09	2737.95	236.621
NM_001011631.1	1741	1489.83	38.3596	0.843543
NM_001011632.2	2009	1757.83	2.27271	0.0423581
NM_001011633.1	1533	1281.83	1027.13	26.2523
NM_001011634.2	3754	3502.83	93.3441	0.873048
NM_001011635.1	1447	1195.83	391	10.7122
NM_001011636.1	570	319.184	5818	597.177
NM_001011637.1	1369	1117.83	47.7943	1.40078
NM_001011639.2	1806	1554.83	10	0.210711
NM_001011640.1	991	739.833	8497	376.273
NM_001011641.1	970	718.833	356.908	16.2667
NM_001011643.1	2378	2126.83	121	1.8639
NM_001011644.2	1200	948.833	95.9723	3.3138
NM_001011650.1	2242	1990.83	19	0.312672
NM_001011652.2	969	717.833	148	6.75475
NM_001011653.2	898	646.833	174.662	8.84662
NM_001011654.2	749	497.932	1012.37	66.6104
NM_001012429.1	672	421.012	1267.58	98.6398
NM_001012615.1	1097	845.833	163	6.31355
NM_001012627.1	3153	2901.83	56.9573	0.643054
NM_001012962.1	3606	3354.83	127	1.24023
NM_001012963.1	502	251.31	0	0
NM_001013006.1	2991	2739.83	0	0
NM_001013359.2	1964	1712.83	745.759	14.2644
NM_001013361.1	4113	3861.83	714	6.05725
NM_001014429.1	1427	1175.83	3354	93.4519
NM_001014430.1	438	187.736	0	0
NM_001014983.1	3250	2998.83	0	0
NM_001014991.1	7242	6990.83	511.716	2.39812
NM_001014992.2	2498	2246.83	889.649	12.9724
NM_001014993.1	1386	1134.83	10.1523	0.293092
NM_001014994.1	1892	1640.83	1685.59	33.6556
NM_001024697.1	1793	1541.83	2042	43.39
NM_001032361.1	3585	3333.83	0	0
NM_001037318.2	2515	2263.83	33.8054	0.48923
NM_001039968.1	1349	1097.83	31.7078	0.946239
NM_001040204.1	793	541.932	160.321	9.69206
NM_001040221.1	459	208.503	1010.77	158.822
NM_001040225.1	407	157.422	10.3563	2.15532
NM_001040226.1	432	181.822	180	32.4338
NM_001040229.1	453	202.599	18.5178	2.99449
NM_001040230.1	13107	12855.8	146.103	0.37233
NM_001040231.1	363	116.196	0	0
NM_001040233.1	1647	1395.83	99497.3	2335.33
