target_id	length	eff_length	est_counts	tpm
NM_001280889.2	1545	1282.9	11426.9	506.964
NM_001280894.1	1381	1118.9	14533.3	739.294
NM_001280899.1	999	736.899	6	0.463432
NM_001280901.1	942	679.969	0	0
NM_001280904.1	984	721.899	5	0.394218
NM_001280909.1	291	55.6224	133185	136285
NM_001280911.1	7738	7475.9	20438	155.603
NM_001280916.1	1360	1097.9	481.121	24.9422
NM_001280918.1	1638	1375.9	457.687	18.9332
NM_001280921.1	1476	1213.9	444	20.8182
NM_001280924.1	1251	988.899	86.7101	4.9907
NM_001280926.1	1557	1294.9	1636	71.9102
NM_001280933.1	1873	1610.9	9645	340.782
NM_001280936.1	1406	1143.9	789	39.2584
NM_001285398.1	1134	871.899	4802.38	313.497
NM_001286444.1	969	706.899	2383.14	191.883
NM_001287563.1	1107	844.899	52.8571	3.56075
NM_001287565.1	1166	903.899	5.97002	0.375923
NM_001304440.1	5067	4804.9	172.387	2.04204
NM_001308306.1	3681	3418.9	300.98	5.01066
NM_001308307.1	2113	1850.9	719	22.11
NM_001331111.1	4730	4467.9	10	0.127391
NM_001353392.1	3997	3734.9	127.448	1.94221
XM_003392812.4	1315	1052.9	574	31.029
XM_003392813.4	2070	1807.9	489	15.3949
XM_003392814.4	2620	2357.9	362	8.73829
XM_003392815.4	953	690.969	1392	114.663
XM_003392816.4	2707	2444.9	541.859	12.6145
XM_003392817.4	2519	2256.9	1311.92	33.0856
XM_003392820.4	881	619.035	571.406	52.5379
XM_003392823.4	1322	1059.9	148.849	7.99329
XM_003392825.4	1052	789.899	1836.58	132.337
XM_003392827.4	663	401.131	2543	360.83
XM_003392828.4	733	471.131	2599.82	314.083
XM_003392829.4	601	339.168	1762.18	295.718
XM_003392833.3	518	256.282	2875	638.502
XM_003392834.4	3424	3161.9	654	11.7726
XM_003392835.4	1812	1549.9	848	31.1412
XM_003392836.4	2565	2302.9	1298.4	32.0906
XM_003392838.4	843	581.035	1275.56	124.952
XM_003392839.4	619	357.168	148.44	23.6549
XM_003392840.4	1378	1115.9	404	20.6063
XM_003392841.4	3696	3433.9	496.895	8.23607
XM_003392844.4	5548	5285.9	0	0
XM_003392845.4	1516	1253.9	2547	115.614
XM_003392846.4	2989	2726.9	524	10.9372
XM_003392849.4	4893	4630.9	55.3636	0.68046
XM_003392850.4	2892	2629.9	16991	367.725
XM_003392854.4	8415	8152.9	286	1.99663
XM_003392855.4	2753	2490.9	157.283	3.59393
XM_003392856.4	17877	17614.9	63	0.203565
XM_003392877.4	8284	8021.9	0	0
XM_003392880.4	1406	1143.9	6966.02	346.609
XM_003392883.4	2861	2598.9	423	9.26391
XM_003392884.4	2186	1923.9	823	24.3479
XM_003392885.4	720	458.131	130.668	16.2338
XM_003392887.4	4596	4333.9	2811.72	36.9263
XM_003392890.4	3508	3245.9	235.651	4.13216
XM_003392894.4	1287	1024.9	3152.51	175.073
XM_003392895.4	771	509.035	977	109.242
