SampleSet	Sample	Reads	MappedReads	PercMapped
Amel	AM_N_056	27237028	23350142	85.73
Amel	AM_N_068	23508991	10849720	46.15
Amel	AM_N_O72	29360104	10299374	35.08
Amel	AM_P_053	20712635	17379420	83.91
Amel	AM_P_057	20405246	8629080	42.29
Amel	AM_P_061	24651402	21003322	85.20
Amel	AM_SL_050	22406740	11527528	51.45
Amel	AM_SL_054	22132296	18799364	84.94
Amel	AM_SL_058	24598864	12892729	52.41
Amel	AM_SM_051	22545198	19564737	86.78
Amel	AM_SM_059	23643235	15551118	65.77
Amel	AM_SM_075	30619653	26232056	85.67
AmelFull	AM_N_056	27237028	23745681	87.18
AmelFull	AM_N_068	23508991	11009520	46.83
AmelFull	AM_N_O72	29360104	10474427	35.68
AmelFull	AM_P_053	20712635	17668715	85.30
AmelFull	AM_P_057	20405246	8761874	42.94
AmelFull	AM_P_061	24651402	21272778	86.29
AmelFull	AM_SL_050	22406740	11690960	52.18
AmelFull	AM_SL_054	22132296	19075749	86.19
AmelFull	AM_SL_058	24598864	13092867	53.23
AmelFull	AM_SM_051	22545198	19853375	88.06
AmelFull	AM_SM_059	23643235	15771681	66.71
AmelFull	AM_SM_075	30619653	26625996	86.96
Anthophila	AM_N_056	27237028	6323628	23.22
Anthophila	AM_N_068	23508991	3020314	12.85
Anthophila	AM_N_O72	29360104	2968885	10.11
Anthophila	AM_P_053	20712635	4193335	20.25
Anthophila	AM_P_057	20405246	2337113	11.45
Anthophila	AM_P_061	24651402	4611768	18.71
Anthophila	AM_SL_050	22406740	2970737	13.26
Anthophila	AM_SL_054	22132296	4718608	21.32
Anthophila	AM_SL_058	24598864	3267996	13.29
Anthophila	AM_SM_051	22545198	4716537	20.92
Anthophila	AM_SM_059	23643235	4236875	17.92
Anthophila	AM_SM_075	30619653	6528079	21.32
Anthophila	BT_A_N_001	29688012	6431076	21.66
Anthophila	BT_A_N_025	35625431	7321209	20.55
Anthophila	BT_A_N_029	29222637	6012423	20.57
Anthophila	BT_A_P_014	28263874	5839514	20.66
Anthophila	BT_A_P_026	25764849	5474514	21.25
Anthophila	BT_A_P_030	28011633	6013478	21.47
Anthophila	BT_A_SL_003	31816484	6919975	21.75
Anthophila	BT_A_SL_027	28586708	5751735	20.12
Anthophila	BT_A_SL_031	28261816	5521779	19.54
Anthophila	BT_A_SM_004	24985516	4920195	19.69
Anthophila	BT_A_SM_028	22137709	4649289	21.00
Anthophila	BT_A_SM_032	24135446	4880975	20.22
Anthophila	CA_N_007	22466256	2911464	12.96
Anthophila	CA_N_012	21282603	2607169	12.25
Anthophila	CA_N_030	22246700	2678371	12.04
Anthophila	CA_P_013	25982762	3172942	12.21
Anthophila	CA_P_041	19877916	2329815	11.72
Anthophila	CA_P_055	24279801	2691574	11.09
Anthophila	CA_SL_019	21126035	2334914	11.05
Anthophila	CA_SL_048	26641030	3013277	11.31
Anthophila	CA_SL_056	25966418	2708166	10.43
Anthophila	CA_SM_029	20773939	2417187	11.64
Anthophila	CA_SM_039	24473060	2484547	10.15
Anthophila	CA_SM_049	23853859	3025844	12.68
Apinae	AM_N_056	27237028	16909484	62.08
Apinae	AM_N_068	23508991	7921542	33.70
Apinae	AM_N_O72	29360104	7754868	26.41
Apinae	AM_P_053	20712635	11994248	57.91
Apinae	AM_P_057	20405246	6252405	30.64
Apinae	AM_P_061	24651402	13698287	55.57
Apinae	AM_SL_050	22406740	8354612	37.29
Apinae	AM_SL_054	22132296	13502121	61.01
Apinae	AM_SL_058	24598864	9216868	37.47
Apinae	AM_SM_051	22545198	13762386	61.04
Apinae	AM_SM_059	23643235	11297043	47.78
Apinae	AM_SM_075	30619653	18562966	60.62
Apinae	BT_A_N_001	29688012	9026634	30.40
Apinae	BT_A_N_025	35625431	10343576	29.03
Apinae	BT_A_N_029	29222637	8700693	29.77
Apinae	BT_A_P_014	28263874	8463443	29.94
Apinae	BT_A_P_026	25764849	7720280	29.96
Apinae	BT_A_P_030	28011633	8410793	30.03
Apinae	BT_A_SL_003	31816484	9885807	31.07
Apinae	BT_A_SL_027	28586708	8208419	28.71
Apinae	BT_A_SL_031	28261816	8075111	28.57
Apinae	BT_A_SM_004	24985516	7314120	29.27
Apinae	BT_A_SM_028	22137709	6616088	29.89
Apinae	BT_A_SM_032	24135446	7015781	29.07
Bter	BT_A_N_001	29688012	25346599	85.38
Bter	BT_A_N_025	35625431	31217440	87.63
Bter	BT_A_N_029	29222637	25450339	87.09
Bter	BT_A_P_014	28263874	24586247	86.99
Bter	BT_A_P_026	25764849	22425616	87.04
Bter	BT_A_P_030	28011633	24514715	87.52
Bter	BT_A_SL_003	31816484	27523234	86.51
Bter	BT_A_SL_027	28586708	24813550	86.80
Bter	BT_A_SL_031	28261816	24255562	85.82
Bter	BT_A_SM_004	24985516	21130628	84.57
Bter	BT_A_SM_028	22137709	18938183	85.55
Bter	BT_A_SM_032	24135446	20959880	86.84
BterFull	BT_A_N_001	29688012	25614099	86.28
BterFull	BT_A_N_025	35625431	31532107	88.51
BterFull	BT_A_N_029	29222637	25736953	88.07
BterFull	BT_A_P_014	28263874	24826671	87.84
BterFull	BT_A_P_026	25764849	22654493	87.93
